Year,LocationDesc,Weighted_Data_Value,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
2011,National,27.40316420393177,344.57900793650794,330.0024404761905,409.9006630952381,541.9067694444444,62.210835317460315
2012,National,27.67689969248593,373.7206844,348.96648,447.7353468,649.8300655999999,89.8221
2013,National,28.253889659229383,429.1039652014652,431.91401388888886,544.4782099206349,747.108615079365,100.74167857142857
2014,National,28.846556060727963,443.45345238095234,509.2075396825396,709.7499170634921,1022.644123015873,67.55305555555555
2015,National,28.78936628156761,390.6388888888889,606.0079166666667,765.3881365079366,1125.8968253968253,87.50954365079365
2016,National,29.515771882945348,410.77392857142854,634.5517857142856,777.059317063492,940.544365079365,83.19049603174604
2017,National,30.048435176998396,556.9477290836654,692.4021314741036,932.2967207171315,1002.2108366533865,63.27422310756972
2018,National,30.876317202825543,608.4501195219125,635.2114342629482,1068.4436888446216,1153.1947410358566,78.04083665338645
2019,National,31.30200456505471,613.0854761904761,812.5099999999999,1134.1579361111112,1573.7494047619048,98.22801587301586
2020,National,31.763344131077748,644.0275494071145,794.693932806324,1282.6485154150198,1971.38476284585,120.96330039525692
2021,National,32.85380899999175,1095.5492857142858,1004.1055952380951,1335.3136404761904,2762.6582539682536,189.23174603174604
2022,National,33.20545061933258,1112.0122709163347,1248.3538844621514,1161.8328685258962,2540.058625498008,207.75362549800798
