,Year,Beef,Broilers,Lamb and Mutton,Other Chicken,Pork,Turkey,Veal,Agri_Machinery_ETF,Food_Beverage_ETF,Investment_Funds_ETF,Restaurant_FastFood_ETF,Retail_ETF
0,2001,2160.4166666666665,2605.483333333333,18.25,42.99166666666667,1584.9583333333333,462.10833333333335,15.916666666666666,130.22745967741935,274.0280241935484,221.96456733870968,149.9063709677419,19.27429072580645
1,2002,2241.7916666666665,2686.65,17.775000000000002,45.59166666666667,1629.1666666666667,472.43333333333334,16.045833333333334,148.39749999999998,292.3746031746032,192.0675396825397,142.2910317460317,46.43166666666667
2,2003,2171.5416666666665,2729.0833333333335,16.266666666666666,41.88333333333333,1653.5,472.85833333333335,15.7125,162.2176984126984,296.2410476190476,264.534740327381,117.39434126984128,41.563900793650795
3,2004,2030.7916666666667,2838.616666666667,15.804166666666667,42.01666666666667,1701.4166666666667,454.4666666666667,13.691666666666668,205.38182539682535,332.564453968254,296.02439285714286,161.05796221959858,37.71815476190476
4,2005,2042.125,2947.066666666667,15.279166666666667,43.03333333333333,1716.3083333333334,458.8833333333334,12.8125,209.0053968253968,345.6885170634921,309.11720595238097,197.92346825396828,46.49704365079365
5,2006,2164.3166666666666,2958.2999999999997,15.104166666666666,42.050000000000004,1747.1291666666666,474.18333333333334,12.095833333333333,244.873984063745,355.3522378486056,334.1747569721116,260.2927104179028,53.13352589641434
6,2007,2187.1,3013.25,14.904166666666667,41.516666666666666,1821.2749999999999,493.2416666666666,11.3125,335.07621513944224,381.61923266932274,380.8332976095617,298.6940422310757,48.05191274900398
7,2008,2198.375,3075.525,14.141666666666666,46.60833333333333,1938.1958333333332,517.975,11.799999999999999,287.17326877470356,330.92154150197626,319.4820193675889,236.15516007905137,36.85523320158103
8,2009,2148.4708333333333,2959.2000000000003,13.85,41.675000000000004,1909.4083333333335,474.93333333333334,11.4,192.29801587301583,298.6527380952381,256.5914126984127,228.61392857142857,42.35936507936508
9,2010,2177.4375,3075.816666666667,13.241666666666667,41.99166666666667,1862.9624999999999,469.93333333333334,11.0375,269.84492063492064,335.3604432539683,368.1125097619048,354.4546801587302,55.64436507936507
10,2011,2168.733333333333,3100.2083333333335,12.0625,43.458333333333336,1889.8874999999998,482.7416666666666,10.654166666666667,344.57900793650794,330.0024404761905,409.9006630952381,541.9067694444444,62.210835317460315
11,2012,2145.2166666666667,3086.616666666667,12.666666666666666,43.041666666666664,1930.9375,498.7166666666667,9.708333333333334,373.7206844,348.96648,447.7353468,649.8300655999999,89.8221
12,2013,2129.3624999999997,3152.508333333333,12.5625,43.60833333333333,1926.125,485.3333333333333,9.179166666666667,429.1039652014652,431.91401388888886,544.4782099206349,747.108615079365,100.74167857142857
13,2014,2007.6000000000001,3213.775,12.541666666666666,43.43333333333334,1898.0375000000001,475.31666666666666,7.7625,443.45345238095234,509.2075396825396,709.7499170634921,1022.644123015873,67.55305555555555
14,2015,1962.1958333333332,3337.3583333333336,12.058333333333332,43.550000000000004,2035.6916666666666,470.01666666666665,6.816666666666666,390.6388888888889,606.0079166666667,765.3881365079366,1125.8968253968253,87.50954365079365
15,2016,2088.704166666667,3391.366666666667,12.008333333333333,45.699999999999996,2072.0833333333335,496.97499999999997,6.2250000000000005,410.77392857142854,634.5517857142856,777.059317063492,940.544365079365,83.19049603174604
16,2017,2168.454166666667,3471.8583333333336,11.566666666666668,44.625,2125.85,499.8416666666667,6.116666666666667,556.9477290836654,692.4021314741036,932.2967207171316,1002.2108366533864,63.27422310756972
17,2018,2225.3458333333333,3550.0499999999997,12.204166666666666,44.958333333333336,2187.15,490.9166666666667,6.2375,608.4501195219125,635.2114342629482,1068.4436888446216,1153.1947410358566,78.04083665338645
18,2019,2249.0,3658.75,11.766666666666666,44.041666666666664,2297.6749999999997,484.9083333333333,6.1375,613.0854761904761,812.5099999999999,1134.1579361111112,1573.7494047619048,98.22801587301586
19,2020,2246.3333333333335,3715.2833333333333,10.895833333333334,45.78333333333333,2352.375,476.625,5.279166666666667,644.0275494071145,794.693932806324,1282.6485154150198,1971.38476284585,120.96330039525692
20,2021,2309.7000000000003,3741.6083333333336,10.845833333333333,44.775,2300.6291666666666,466.7583333333334,4.375,1095.5492857142858,1004.1055952380952,1335.3136404761904,2762.6582539682536,189.23174603174604
21,2022,2338.7208333333333,3850.4833333333336,10.333333333333334,47.44166666666666,2244.4249999999997,436.325,4.429166666666666,1112.0122709163347,1248.3538844621514,1161.8328685258962,2540.058625498008,207.753625498008
22,2023,2229.641666666667,3865.2333333333336,10.166666666666666,48.23333333333333,2269.8333333333335,456.34999999999997,3.9416666666666664,1232.2205600000002,1339.3659,1212.51114,3002.4344,219.33882
