Date,Households,Persons,Benefit / Households,Benefit / Persons,Cost,State
1997-04-01,9368502.0,22723781.0,172.3155,71.0418,1614338568.0,US Summary
1997-05-01,9217445.0,22411827.0,171.8522,70.6787,1584037813.0,US Summary
1997-06-01,9104253.0,22140575.0,170.4651,70.0956,1551957458.0,US Summary
1997-07-01,8949198.0,21680584.0,169.6407,70.0234,1518148091.0,US Summary
1997-08-01,8893080.0,21544651.0,170.1315,70.2259,1512993445.0,US Summary
1997-09-01,8687645.0,20991727.0,169.5805,70.1826,1473255017.0,US Summary
1997-10-01,8658521.0,20799556.0,171.3064,71.3121,1483259674.0,US Summary
1997-11-01,8535541.0,20607139.0,172.061,71.2682,1468633970.0,US Summary
1997-12-01,8514300.0,20517163.0,173.0898,71.8295,1473738548.0,US Summary
1998-01-01,8461175.0,20370391.0,171.5702,71.2645,1451685195.0,US Summary
1998-02-01,8353555.0,20047459.0,172.2311,71.7668,1438742148.0,US Summary
1998-03-01,8346357.0,20037929.0,171.8307,71.5723,1434160397.0,US Summary
1998-04-01,8234328.0,19708896.0,171.0225,71.4528,1408255488.0,US Summary
1998-05-01,8139830.0,19495898.0,169.5308,70.7817,1379951840.0,US Summary
1998-06-01,8055041.0,19289319.0,169.3367,70.7134,1364013937.0,US Summary
1998-07-01,7960377.0,19029374.0,168.5433,70.5051,1341668420.0,US Summary
1998-08-01,7916478.0,18910497.0,167.9707,70.3174,1329736270.0,US Summary
1998-09-01,7820391.0,18678193.0,168.36,70.4908,1316641204.0,US Summary
1998-10-01,7858938.0,18781505.0,175.5445,73.4549,1379592963.0,US Summary
1998-11-01,7837813.0,18647789.0,171.6053,72.1271,1345010102.0,US Summary
1998-12-01,7832324.0,18617087.0,172.1064,72.4062,1347993304.0,US Summary
1999-01-01,7778282.0,18483171.0,170.1385,71.5995,1323385330.0,US Summary
1999-02-01,7702620.0,18278318.0,172.3593,72.6335,1327617812.0,US Summary
1999-03-01,7740513.0,18354465.0,173.8259,73.3065,1345501546.0,US Summary
1999-04-01,7641166.0,18100816.0,171.6475,72.4601,1311587240.0,US Summary
1999-05-01,7573372.0,17947632.0,170.7147,72.0366,1292885682.0,US Summary
1999-06-01,7542885.0,17835831.0,168.9842,71.4645,1274628138.0,US Summary
1999-07-01,7503175.0,17723939.0,169.003,71.545,1268058861.0,US Summary
1999-08-01,7494778.0,17694898.0,168.5269,71.3806,1263071717.0,US Summary
1999-09-01,7515906.0,17725004.0,171.6445,72.7822,1290064075.0,US Summary
1999-10-01,7440094.0,17530703.0,173.1367,73.4799,1288153593.0,US Summary
1999-11-01,7440916.0,17538216.0,171.7558,72.8706,1278020541.0,US Summary
1999-12-01,7453186.0,17445538.0,172.1532,73.5483,1283089864.0,US Summary
2000-01-01,7399539.0,17323336.0,167.7051,71.6341,1240940740.0,US Summary
2000-02-01,7359951.0,17191024.0,169.6785,72.644,1248825542.0,US Summary
2000-03-01,7393964.0,17285182.0,170.9308,73.1179,1263856246.0,US Summary
2000-04-01,7310720.0,17040733.0,169.7603,72.8296,1241069845.0,US Summary
2000-05-01,7294217.0,17018465.0,168.4687,72.2067,1228847290.0,US Summary
2000-06-01,7303386.0,17045814.0,168.4699,72.182,1230400932.0,US Summary
2000-07-01,7247496.0,16895039.0,167.7911,71.9777,1216065478.0,US Summary
2000-08-01,7281653.0,17004637.0,169.1698,72.4412,1231836095.0,US Summary
2000-09-01,7290672.0,17013325.0,169.0122,72.4263,1232212614.0,US Summary
2000-10-01,7315539.0,17061834.0,172.7429,74.0663,1263707406.0,US Summary
2000-11-01,7339091.0,17092424.0,171.6283,73.6932,1259595346.0,US Summary
2000-12-01,7382771.0,17175724.0,172.5168,74.1542,1273651827.0,US Summary
2001-01-01,7432508.0,17298136.0,171.9677,73.8895,1278151159.0,US Summary
2001-02-01,7300348.0,16954558.0,172.0163,74.0673,1255779048.0,US Summary
2001-03-01,7429444.0,17249899.0,175.5552,75.6107,1304277185.0,US Summary
2001-04-01,7389934.0,17139964.0,173.8956,74.9755,1285076970.0,US Summary
2001-05-01,7435392.0,17243514.0,174.9042,75.4186,1300481178.0,US Summary
2001-06-01,7510639.0,17457195.0,174.8103,75.2089,1312936823.0,US Summary
2001-07-01,7548735.0,17531585.0,175.1509,75.4163,1322167499.0,US Summary
2001-08-01,7639031.0,17758492.0,175.6343,75.5512,1341676078.0,US Summary
2001-09-01,7666441.0,17858172.0,176.0777,75.5894,1349889319.0,US Summary
2001-10-01,7820035.0,18176710.0,186.8011,80.3661,1460791040.0,US Summary
2001-11-01,7937197.0,18499920.0,186.3432,79.9486,1479042564.0,US Summary
2001-12-01,8030996.0,18745920.0,186.7985,80.0269,1500177891.0,US Summary
2002-01-01,8126128.0,18918120.0,185.643,79.7415,1508559099.0,US Summary
2002-02-01,8165398.0,19018508.0,185.8697,79.8012,1517699803.0,US Summary
2002-03-01,8253742.0,19216647.0,186.6549,80.1701,1540601470.0,US Summary
2002-04-01,8242691.0,19166625.0,185.5358,79.7905,1529313903.0,US Summary
2002-05-01,8279311.0,19330632.0,184.3225,78.9453,1526062967.0,US Summary
2002-06-01,8283958.0,19311119.0,184.44,79.1199,1527893107.0,US Summary
2002-07-01,8282626.0,19291561.0,185.7325,79.7423,1538353042.0,US Summary
2002-08-01,8429072.0,19686984.0,185.4005,79.3801,1562754183.0,US Summary
2002-09-01,8485794.0,19784894.0,184.4206,79.0985,1564955180.0,US Summary
2002-10-01,8656415.0,20124679.0,194.8767,83.8241,1686933693.0,US Summary
2002-11-01,8756175.0,20329250.0,192.6927,82.9962,1687251239.0,US Summary
2002-12-01,8866917.0,20551678.0,194.474,83.9048,1724384681.0,US Summary
2003-01-01,8957484.0,20704912.0,191.5569,82.8725,1715867812.0,US Summary
2003-02-01,8988206.0,20740976.0,192.9015,83.5948,1733838267.0,US Summary
2003-03-01,9106359.0,21009256.0,193.272,83.7728,1760004574.0,US Summary
2003-04-01,9151151.0,21249129.0,194.26,83.66,1777702359.0,US Summary
2003-05-01,9254449.0,21529923.0,195.6081,84.0804,1810245197.0,US Summary
2003-06-01,9354685.0,21760617.0,194.6508,83.6785,1820896555.0,US Summary
2003-07-01,9451357.0,22005076.0,196.1357,84.2419,1853748892.0,US Summary
2003-08-01,9573448.0,22324542.0,198.7309,85.2219,1902540223.0,US Summary
2003-09-01,9718294.0,22665472.0,198.6833,85.1896,1930862724.0,US Summary
2003-10-01,9937759.0,23226236.0,202.2604,86.5407,2010015444.0,US Summary
2003-11-01,9867624.0,22963101.0,199.1335,85.5709,1964974205.0,US Summary
2003-12-01,9999640.0,23244941.0,198.8714,85.5516,1988642816.0,US Summary
2004-01-01,10096006.0,23450738.0,197.9013,85.2004,1998012461.0,US Summary
2004-02-01,10123716.0,23474067.0,198.1796,85.4694,2006314135.0,US Summary
2004-03-01,10265455.0,23755819.0,198.8276,85.9181,2041055512.0,US Summary
2004-04-01,10301382.0,23827439.0,198.4979,85.8171,2044802896.0,US Summary
2004-05-01,10354000.0,23924001.0,198.8982,86.0806,2059391976.0,US Summary
2004-06-01,10435296.0,24107448.0,198.5486,85.9449,2071912916.0,US Summary
2004-07-01,10534749.0,24347959.0,199.6406,86.3795,2103163469.0,US Summary
2004-08-01,10641837.0,24550102.0,201.4227,87.3115,2143507182.0,US Summary
2004-09-01,10771087.0,24857053.0,203.0525,87.987,2187096544.0,US Summary
2004-10-01,11252143.0,26168289.0,223.4735,96.0917,2514556038.0,US Summary
2004-11-01,10920199.0,25077090.0,213.9073,93.1492,2335910071.0,US Summary
2004-12-01,11082443.0,25411716.0,212.8717,92.8367,2359138666.0,US Summary
2005-01-01,11075030.0,25357492.0,209.8931,91.672,2324572188.0,US Summary
2005-02-01,11024559.0,25184374.0,210.3433,92.0786,2318942547.0,US Summary
2005-03-01,11103463.0,25348952.0,211.0159,92.4301,2343007202.0,US Summary
2005-04-01,11078232.0,25271312.0,209.5387,91.8559,2321318821.0,US Summary
2005-05-01,11097007.0,25314262.0,209.9461,92.034,2329773718.0,US Summary
2005-06-01,11149475.0,25437443.0,210.1211,92.0981,2342740416.0,US Summary
2005-07-01,11170896.0,25467685.0,211.4658,92.7553,2362262640.0,US Summary
2005-08-01,11258199.0,25661624.0,209.8627,92.0704,2362676374.0,US Summary
2005-09-01,12137916.0,27841234.0,218.5694,95.2895,2652977562.0,US Summary
2005-10-01,12152016.0,27793263.0,228.5065,99.9096,2776814627.0,US Summary
2005-11-01,12785010.0,29735319.0,232.0454,99.7703,2966702552.0,US Summary
2005-12-01,11775578.0,26716394.0,214.556,94.5682,2526521341.0,US Summary
2006-01-01,11660841.0,26393587.0,209.8508,92.7133,2447036625.0,US Summary
2006-02-01,11551453.0,26084182.0,209.8764,92.9444,2424377836.0,US Summary
2006-03-01,11635403.0,26200009.0,211.1461,93.7698,2456770429.0,US Summary
2006-04-01,11481181.0,25892326.0,210.7734,93.4612,2419927052.0,US Summary
2006-05-01,11510373.0,25892949.0,210.2211,93.451,2419723023.0,US Summary
2006-06-01,11541344.0,25952710.0,209.8175,93.3072,2421575880.0,US Summary
2006-07-01,11518497.0,25865385.0,210.6604,93.8123,2426490860.0,US Summary
2006-08-01,11580285.0,26000132.0,211.979,94.4141,2454777775.0,US Summary
2006-09-01,11601332.0,26059742.0,210.8921,93.8854,2446628987.0,US Summary
2006-10-01,11656291.0,26148439.0,218.0075,97.1821,2541158969.0,US Summary
2006-11-01,11651010.0,26153656.0,216.6141,96.4979,2523772503.0,US Summary
2006-12-01,11701442.0,26247570.0,217.6093,97.0125,2546342023.0,US Summary
2007-01-01,11733981.0,26220403.0,213.8474,95.6996,2509281764.0,US Summary
2007-02-01,11640923.0,26004135.0,213.4819,95.5666,2485125844.0,US Summary
2007-03-01,11757345.0,26226757.0,214.2702,96.0564,2519248231.0,US Summary
2007-04-01,11719170.0,26129021.0,213.1012,95.5784,2497368851.0,US Summary
2007-05-01,11799032.0,26254268.0,213.4893,95.9451,2518967072.0,US Summary
2007-06-01,11873549.0,26451375.0,213.7173,95.9339,2537582439.0,US Summary
2007-07-01,11885975.0,26456753.0,213.7612,96.0345,2540760407.0,US Summary
2007-08-01,12007361.0,26738383.0,214.4293,96.2934,2574730478.0,US Summary
2007-09-01,12027103.0,26761775.0,214.4267,96.3663,2578932497.0,US Summary
2007-10-01,12147478.0,27007059.0,227.5325,102.3416,2763946525.0,US Summary
2007-11-01,12208064.0,27153727.0,226.6019,101.8781,2766370199.0,US Summary
2007-12-01,12312552.0,27385524.0,226.5242,101.8454,2789090515.0,US Summary
2008-01-01,12431141.0,27580481.0,223.5388,100.7539,2778842340.0,US Summary
2008-02-01,12435938.0,27547495.0,223.488,100.8906,2779283488.0,US Summary
2008-03-01,12546256.0,27770417.0,224.2903,101.331,2814003256.0,US Summary
2008-04-01,12641595.0,27967760.0,224.5167,101.4829,2838248777.0,US Summary
2008-05-01,12762569.0,28244913.0,224.9828,101.6593,2871358394.0,US Summary
2008-06-01,12886157.0,28509720.0,225.0538,101.7224,2900078521.0,US Summary
2008-07-01,13052852.0,28862959.0,226.552,102.4548,2957149326.0,US Summary
2008-08-01,13219213.0,29258947.0,225.7727,102.0043,2984537425.0,US Summary
2008-09-01,14085583.0,31382561.0,238.9314,107.2407,3365488472.0,US Summary
2008-10-01,13900815.0,30841790.0,266.0008,119.8902,3697627592.0,US Summary
2008-11-01,13963078.0,30884729.0,255.0456,115.3069,3561221137.0,US Summary
2008-12-01,14284026.0,31567037.0,255.4508,115.591,3648865577.0,US Summary
2009-01-01,14499693.0,31983716.0,250.57,113.595,3633188682.0,US Summary
2009-02-01,14677736.0,32332622.0,252.3327,114.5491,3703673185.0,US Summary
2009-03-01,14982155.0,32928433.0,252.034,114.6733,3776012112.0,US Summary
2009-04-01,15269505.0,33524074.0,294.6671,134.2146,4499420746.0,US Summary
2009-05-01,15578702.0,34171518.0,295.0366,134.5064,4596287457.0,US Summary
2009-06-01,15916305.0,34882031.0,293.7336,134.0276,4675153673.0,US Summary
2009-07-01,16259749.0,35602939.0,293.9519,134.2469,4779583794.0,US Summary
2009-08-01,16560753.0,36241857.0,292.9568,133.8669,4851584542.0,US Summary
2009-09-01,16892857.0,36918948.0,292.2715,133.7335,4937300356.0,US Summary
2009-10-01,17253466.0,37672818.0,293.8878,134.5953,5070583056.0,US Summary
2009-11-01,17516954.0,38184306.0,291.5396,133.7431,5106886589.0,US Summary
2009-12-01,17886438.0,38979289.0,293.2229,134.5513,5244713066.0,US Summary
2010-01-01,18118005.0,39431128.0,289.9754,133.2393,5253774954.0,US Summary
2010-02-01,18242903.0,39588993.0,289.8471,133.5637,5287652083.0,US Summary
2010-03-01,18532065.0,40120254.0,290.0666,133.9855,5375533793.0,US Summary
2010-04-01,18696485.0,40430679.0,288.3006,133.3197,5390207990.0,US Summary
2010-05-01,18894549.0,40801591.0,288.448,133.5755,5450094171.0,US Summary
2010-06-01,19143572.0,41275687.0,287.4909,133.3376,5503601938.0,US Summary
2010-07-01,19435457.0,41836469.0,288.1875,133.8798,5601056282.0,US Summary
2010-08-01,19721947.0,42389926.0,287.8547,133.9246,5677055577.0,US Summary
2010-09-01,19979385.0,42911396.0,287.3464,133.7874,5741005129.0,US Summary
2010-10-01,20183177.0,43201052.0,286.2944,133.7544,5778329641.0,US Summary
2010-11-01,20404895.0,43596084.0,284.7621,133.2813,5810541635.0,US Summary
2010-12-01,20668184.0,44082361.0,284.9527,133.6012,5889455566.0,US Summary
2011-01-01,20748799.0,44187874.0,282.823,132.802,5868238587.0,US Summary
2011-02-01,20791408.0,44199479.0,283.2455,133.2385,5889071901.0,US Summary
2011-03-01,21045909.0,44587275.0,284.3188,134.203,5983748199.0,US Summary
2011-04-01,21071176.0,44647781.0,282.358,133.2567,5949614728.0,US Summary
2011-05-01,21435915.0,45410683.0,285.5608,134.7977,6121256333.0,US Summary
2011-06-01,21394401.0,45183927.0,282.2762,133.6566,6039129972.0,US Summary
2011-07-01,21458822.0,45345473.0,283.6888,134.25,6087627943.0,US Summary
2011-08-01,21723850.0,45794474.0,282.2162,133.8769,6130823077.0,US Summary
2011-09-01,21938820.0,46268250.0,285.4796,135.3647,6263086440.0,US Summary
2011-10-01,21973808.0,46236164.0,283.7487,134.852,6235038754.0,US Summary
2011-11-01,22027321.0,46286314.0,281.8508,134.1307,6208417106.0,US Summary
2011-12-01,22162774.0,46514155.0,280.5699,133.6842,6218208151.0,US Summary
2012-01-01,22188732.0,46449737.0,277.237,132.4343,6151537395.0,US Summary
2012-02-01,22155432.0,46326287.0,278.055,132.9791,6160427746.0,US Summary
2012-03-01,22257668.0,46405224.0,277.7076,133.1989,6181123024.0,US Summary
2012-04-01,22212770.0,46274631.0,275.8069,132.393,6126435777.0,US Summary
2012-05-01,22335926.0,46496761.0,276.7212,132.9302,6180824060.0,US Summary
2012-06-01,22442179.0,46670301.0,276.4521,132.9365,6204187508.0,US Summary
2012-07-01,22541831.0,46836236.0,277.8946,133.748,6264254010.0,US Summary
2012-08-01,22684463.0,47102765.0,276.9844,133.3943,6283241642.0,US Summary
2012-09-01,22973657.0,47710283.0,278.8259,134.2614,6405649453.0,US Summary
2012-10-01,22943816.0,47551829.0,276.4071,133.3668,6341833548.0,US Summary
2012-11-01,23015561.0,47682072.0,281.189,135.7265,6471722852.0,US Summary
2012-12-01,23064564.0,47792056.0,277.0374,133.6989,6389746648.0,US Summary
2013-01-01,23088841.0,47772063.0,273.9876,132.4216,6326055338.0,US Summary
2013-02-01,23006710.0,47558164.0,273.9515,132.5266,6302722967.0,US Summary
2013-03-01,23115206.0,47724596.0,274.3513,132.8809,6341686261.0,US Summary
2013-04-01,23039007.0,47548577.0,273.3697,132.4575,6298165540.0,US Summary
2013-05-01,23071020.0,47635226.0,273.9719,132.692,6320812249.0,US Summary
2013-06-01,23116892.0,47760247.0,274.5295,132.8776,6346268642.0,US Summary
2013-07-01,23073832.0,47637468.0,272.4999,131.9889,6287615772.0,US Summary
2013-08-01,23093696.0,47665056.0,274.5193,133.0044,6339664356.0,US Summary
2013-09-01,22999606.0,47305724.0,273.9188,133.1768,6300024327.0,US Summary
2013-10-01,23053620.0,47415754.0,275.6675,134.03,6355133852.0,US Summary
2013-11-01,23014953.0,47363175.0,257.5029,125.1271,5926416528.0,US Summary
2013-12-01,22860771.0,47078649.0,254.5126,123.5879,5818353479.0,US Summary
2014-01-01,22646436.0,46530889.0,254.5642,123.8956,5764971510.0,US Summary
2014-02-01,22597843.0,46515743.0,254.7919,123.7806,5757748409.0,US Summary
2014-03-01,22580029.0,46390386.0,255.7595,124.4882,5775057723.0,US Summary
2014-04-01,22663868.0,46514290.0,254.4512,123.9801,5766848260.0,US Summary
2014-05-01,22604943.0,46235606.0,255.7858,125.0556,5782022930.0,US Summary
2014-06-01,22713859.0,46495793.0,254.0379,124.1012,5770182054.0,US Summary
2014-07-01,22716152.0,46486888.0,254.2361,124.2343,5775265294.0,US Summary
2014-08-01,22724505.0,46476291.0,253.7321,124.0619,5765935451.0,US Summary
2014-09-01,22749951.0,46459930.0,252.3478,123.5667,5740900079.0,US Summary
2014-10-01,22783765.0,46500623.0,262.0682,128.4047,5970900822.0,US Summary
2014-11-01,22694484.0,46263096.0,259.8735,127.4816,5897694230.0,US Summary
2014-12-01,22724445.0,46252074.0,259.9016,127.6942,5906119354.0,US Summary
2015-01-01,22615696.0,46028930.0,257.7406,126.6374,5828983683.0,US Summary
2015-02-01,22489450.0,45682411.0,257.6435,126.8379,5794260529.0,US Summary
2015-03-01,22493349.0,45641751.0,257.4504,126.8777,5790920739.0,US Summary
2015-04-01,22394544.0,45438791.0,256.7756,126.552,5750372036.0,US Summary
2015-05-01,22416122.0,45495284.0,256.3511,126.3075,5746397507.0,US Summary
2015-06-01,22436441.0,45510151.0,256.0088,126.212,5743926329.0,US Summary
2015-07-01,22416330.0,45507071.0,256.64,126.4183,5752926149.0,US Summary
2015-08-01,22404273.0,45464433.0,256.1368,126.2209,5738559839.0,US Summary
2015-09-01,22398227.0,45415445.0,255.5594,126.0381,5724077011.0,US Summary
2015-10-01,22388684.0,45368265.0,255.9592,126.3127,5730589820.0,US Summary
2015-11-01,22417268.0,45453871.0,254.8181,125.673,5712325692.0,US Summary
2015-12-01,22324099.0,45188751.0,255.0084,125.979,5692831945.0,US Summary
2016-01-01,22153124.0,44852347.0,253.499,125.2063,5615795192.0,US Summary
2016-02-01,21938790.0,44382926.0,253.7311,125.4211,5566554378.0,US Summary
2016-03-01,21926087.0,44344774.0,255.3389,126.2513,5598583806.0,US Summary
2016-04-01,21425555.0,43570377.0,253.9868,124.897,5441808244.0,US Summary
2016-05-01,21374050.0,43481269.0,254.8233,125.2633,5446605261.0,US Summary
2016-06-01,21369408.0,43536321.0,253.4872,124.4219,5416870557.0,US Summary
2016-07-01,21270522.0,43334443.0,253.9749,124.6625,5402178151.0,US Summary
2016-08-01,21396037.0,43625861.0,256.4457,125.7722,5486920855.0,US Summary
2016-09-01,21351627.0,43493149.0,254.233,124.8079,5428287318.0,US Summary
2016-10-01,21506068.0,43660143.0,258.6425,127.4018,5562382558.0,US Summary
2016-11-01,21315670.0,43200201.0,253.3818,125.0227,5401003653.0,US Summary
2016-12-01,21232456.0,42972692.0,251.8264,124.4254,5346893421.0,US Summary
2017-01-01,21133144.0,42715593.0,250.0114,123.6908,5283526016.0,US Summary
2017-02-01,20937903.0,42297791.0,252.2788,124.881,5282188408.0,US Summary
